	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
61	textures\fireball_right.png	0	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
57	textures\enemies-5_3.png	0	255	255
4	801	802	803	804	805	806	807	808	809	810	811	812	813	814	815	816	817	818	819	820	821	822	823	824	825	826	827	828
#Item
5	50	51	52	53	54	55	56	57	58	59	60	61	62	63
# FLOWER
6	6	7	8	9	10	11	12	13	23	24	25	26	27	28	29	30	31
# BULLET
7	15	16
# effect fire hit Something
8	17
# effect point
9	911	912	913	914	915	916	917	918
# EFFECT TAIL HIT SOMETHING
10	902
# QUESTION BRICK
11	1	2
# ELEMENT OF BOARDGAME
12	1000	1001	1002	1044	1003	1004	1005	1006	1007	1008	1009	1010	1011	1012	1013	1014	1015	1016	1017	1018	1019	1020	1021	1022	1023	1024	1025	1026	1027	1028	1029	1030	1031	1032	1033	1034	1035	1040	1041	1042	1043
# EFFECT PIECE OF BRICK
13	920
# PIPE
14	2300	2301	2302	2303	2304
# BOX_FRAME
15	5000	5001
# MOVING WOOD
16	99
#========== BOMERANG BROTHER
17	150	151	152	153	154	155	156
#========== BOMERANG WEAPON
18	200	201	202
#========== SELECTION CARRET
19	5002
#========= SO 3 NHAP NHAY
20	5050	5060	5061

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas,4 = Flower, 5 = Ground, 6 = ColorBox, 7 = Pipe, 8 = QuestionBrick, 9 = WeakBreak, 10 = CloundBrick, 11 = Item, 12 = Bullet, 13 = Effects

# MARIO
0	0	384	1
#0	2200	80	1
#SELECTION CARRET
51	80	145	19	-1

#SO 3 NHAP NHAY
52	128	95	20	-1
[CELL_SIZE]
195	328
[TILEMAP]
9999	textures\intro.png	textures\intro.txt	11	11	17	49	16	16	800	600	195	328
#99999	textures\intro.png	textures\wintrointro.txt	24	35	24	69	16	16	800	600
